Sl no,Class,Name of town,Name of the slum,Notified,No of HHs (approx),Population of slum,Paved Roads in km,Drainage - Open,Drainage Closed,Both (Open and closed),No Drainage,Num Latrines - Pit,Num Latrines - Flush/pour flush,Num of latrines - service,Num of latrines - others,Community Toilets,Number of tap points/public hydrants for water supply,Electricity - Domestic,Electricity - street lighting,Electricity - Others
276,1,BBMP  (M  Corp.  + OG) (Part),Sannakki Bayalu(Kamalanagara) Slum,Yes,251,834,0.5,-,-,BD,-,26,198,0,1,22,10,246,3,0
277,1,BBMP  (M Corp. + OG) (Part),Ngo Slum Vrushabhavati Nagar,No,42,164,1,-,-,BD,-,4,34,0,0,4,2,41,1,0
278,1,BBMP  (M Corp. + OG) (Part),Kamalanagara Slum,Yes,155,574,0.6,-,-,BD,-,16,120,0,1,14,6,152,3,0
279,1,BBMP  (M  Corp.  + OG) (Part),Ngo Slum Vrushabhavati Nagar,No,590,2274,1.2,-,-,BD,-,61,470,0,3,52,23,579,5,0
280,1,BBMP  (M Corp. + OG) (Part),Manjunath Nagar  Slum,No,41,149,1.4,-,-,BD,-,4,29,0,0,4,2,40,1,0
281,1,BBMP  (M Corp. + OG) (Part),Chamundinagar Slum,No,521,2256,1,-,-,BD,-,54,414,0,3,46,20,511,5,0
282,1,BBMP  (M  Corp.  + OG) (Part),Harijan Sevan Sangha Slum,No,38,151,1,-,-,BD,-,4,31,0,0,3,1,37,1,0
283,1,BBMP  (M Corp. + OG) (Part),Chamundinagar Slum,No,32,127,1.4,-,-,BD,-,3,26,0,0,3,1,31,1,0
284,1,BBMP  (M  Corp.  + OG) (Part),A. K. Colony Slum,Yes,405,1906,1,-,-,BD,-,42,321,0,2,36,16,398,5,0
285,1,BBMP  (M Corp. + OG) (Part),Amarjyothi Slum,No,35,158,1,-,-,BD,-,4,24,0,0,3,1,34,1,0
286,1,BBMP  (M Corp. + OG) (Part),Ring Road Slum,No,40,160,1.5,-,-,BD,-,4,28,0,0,4,2,39,1,0
287,1,BBMP  (M Corp. + OG) (Part),Gowdham Colony Slum,No,46,187,1.3,-,-,BD,-,5,33,0,0,4,2,45,1,0
288,1,BBMP  (M  Corp.  + OG) (Part),Isro Slum,Yes,277,1318,1.5,-,-,BD,-,29,219,0,1,24,11,272,3,0
289,1,BBMP  (M  Corp.  + OG) (Part),Dhina Bandhu Slum,Yes,306,1309,1.6,-,-,BD,-,32,241,0,2,27,12,300,5,0
290,1,BBMP  (M  Corp.  + OG) (Part),Gowthampura Slum,Yes,451,1937,1.5,-,-,BD,-,47,358,0,2,40,17,443,5,0
291,1,BBMP  (M Corp. + OG) (Part),Jairajnagar Slum,Yes,351,1557,0.5,-,-,BD,-,37,277,0,2,31,13,345,5,0
292,1,BBMP  (M Corp. + OG) (Part),Rudrappa Garden,Yes,162,732,1,-,-,BD,-,17,126,0,1,14,6,159,3,0
293,1,BBMP  (M Corp. + OG) (Part),Maya  Bazar,Yes,357,1529,0.4,-,-,BD,-,37,282,0,2,32,14,350,5,0
294,1,BBMP  (M  Corp.  + OG) (Part),Gowthampura Slum,Yes,689,2915,0.6,-,-,BD,-,72,549,0,3,61,26,676,5,0
295,1,BBMP  (M Corp. + OG) (Part),Maya  Bazar,Yes,313,1302,1.2,-,-,BD,-,33,246,0,2,28,12,307,5,0
296,1,BBMP  (M  Corp.  + OG) (Part),Rudrappa Garden,Yes,266,1113,1.4,-,-,BD,-,28,210,0,1,23,10,261,3,0
297,1,BBMP  (M  Corp.  + OG) (Part),Lakshman Rau Nagar Slum,Yes,1569,7230,1,-,-,BD,-,163,1255,0,8,139,60,1540,8,0
298,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Nagar Slum,Yes,1460,6399,1,-,-,BD,-,152,1168,0,7,129,56,1433,8,0
299,1,BBMP  (M Corp. + OG) (Part),Thimarayappa Garden Slum,No,54,257,0.5,-,-,BD,-,6,39,0,0,5,2,53,1,0
300,1,BBMP  (M  Corp.  + OG) (Part),Jalakanteswar Slum,No,228,1098,0.6,-,-,BD,-,24,179,0,1,20,9,224,3,0
301,1,BBMP  (M Corp. + OG) (Part),Ward No. 117,No,191,948,0.5,-,-,BD,-,20,149,0,1,17,7,187,3,0
302,1,BBMP  (M Corp. + OG) (Part),Jalakanteswar Slum,No,167,773,0.3,-,-,BD,-,17,130,0,1,15,6,164,3,0
303,1,BBMP  (M  Corp.  + OG) (Part),Kadhar Shariff Garden Slum,Yes,767,3591,0.4,-,-,BD,-,80,611,0,4,68,29,753,5,0
304,1,BBMP  (M  Corp.  + OG) (Part),Ramanna Garden Slum,Yes,373,1692,0.6,-,-,BD,-,39,295,0,2,33,14,366,5,0
305,1,BBMP  (M Corp. + OG) (Part),Vyayamashala Slum (Muniyapppa  Cement Huts),Yes,174,948,1.2,-,-,BD,-,18,136,0,1,15,7,171,3,0
306,1,BBMP  (M Corp. + OG) (Part),Vinobhanagar Slum,Yes,443,2264,1,-,-,BD,-,46,352,0,2,39,17,435,5,0
307,1,BBMP  (M  Corp.  + OG) (Part),Shambhupalya Slum,Yes,554,2897,0.8,-,-,BD,-,58,440,0,3,49,21,544,5,0
308,1,BBMP  (M  Corp.  + OG) (Part),Nageshwar Rao Garden Slum,Yes,638,3235,1.6,-,-,BD,-,66,509,0,3,56,24,626,5,0
309,1,BBMP  (M Corp. + OG) (Part),Ameerkhan Garden Slum,Yes,71,463,1,-,-,BD,-,7,58,0,0,6,3,70,1,0
310,1,BBMP  (M Corp. + OG) (Part),Aswathnagara  Slum,No,150,583,1,-,-,BD,-,16,116,0,1,13,6,147,3,0
311,1,BBMP  (M  Corp.  + OG) (Part),Siddarthanagara  Slum,No,68,282,0.6,-,-,BD,-,7,51,0,0,6,3,67,1,0
312,1,BBMP  (M Corp. + OG) (Part),Keshavanagara  Slum,No,25,110,1.2,-,-,BD,-,3,16,0,0,2,1,25,1,0
313,1,BBMP  (M Corp. + OG) (Part),Nagammanagara  Slum,Yes,281,1231,1.4,-,-,BD,-,29,222,0,1,25,11,276,3,0
314,1,BBMP  (M Corp. + OG) (Part),Thammaiah Park Slum,No,40,141,1,-,-,BD,-,4,28,0,0,4,2,39,1,0
315,1,BBMP  (M Corp. + OG) (Part),Sarkarioni Slum,No,222,976,0.6,-,-,BD,-,23,174,0,1,20,9,218,3,0
316,1,BBMP  (M Corp. + OG) (Part),Hanumantharayana Palya Slum,No,143,623,1.2,-,-,BD,-,15,110,0,1,13,5,140,3,0
317,1,BBMP  (M  Corp.  + OG) (Part),Mallathalli Slum,No,157,629,1.4,-,-,BD,-,16,122,0,1,14,6,154,3,0
318,1,BBMP  (M  Corp.  + OG) (Part),Kengunte Slum,No,1124,4469,1,-,-,BD,-,117,898,0,6,99,43,1103,8,0
319,1,BBMP  (M  Corp.  + OG) (Part),Mutharayanagar Slum,No,382,1352,1,-,-,BD,-,40,302,0,2,34,15,375,5,0
320,1,BBMP  (M Corp. + OG) (Part),Kebbehalla Slum,No,348,1420,1.4,-,-,BD,-,36,275,0,2,31,13,342,5,0
321,1,BBMP  (M Corp. + OG) (Part),Ullal Ambedkarnagar,No,2050,8596,1,-,-,BD,-,213,1642,0,10,181,79,2012,10,0
322,1,BBMP  (M Corp. + OG) (Part),Mariyappanapallya,No,155,594,1,-,-,BD,-,16,120,0,1,14,6,152,3,0
323,1,BBMP  (M Corp. + OG) (Part),Bhuvaneshwari Nagara(2Nd Stage),No,145,580,1.5,-,-,BD,-,15,112,0,1,13,6,142,3,0
324,1,BBMP  (M  Corp.  + OG) (Part),Gandhi Nagara,Yes,180,767,1.3,-,-,BD,-,19,140,0,1,16,7,177,3,0
325,1,BBMP  (M Corp. + OG) (Part),Vaddarapalya,No,125,525,1.5,-,-,BD,-,13,96,0,1,11,5,123,3,0
326,1,BBMP  (M Corp. + OG) (Part),Gangondanahalli Slum,Yes,918,3824,1.6,-,-,BD,-,96,732,0,5,81,35,901,5,0
327,1,BBMP  (M Corp. + OG) (Part),Indira Ghandhi Slum,Yes,138,542,1.5,-,-,BD,-,14,107,0,1,12,5,135,3,0
328,1,BBMP  (M Corp. + OG) (Part),Maruthi Slum,Yes,140,731,0.5,-,-,BD,-,15,108,0,1,12,5,137,3,0
329,1,BBMP  (M  Corp.  + OG) (Part),Venkateshwara Slum,Yes,520,2161,1,-,-,BD,-,54,413,0,3,46,20,510,5,0
330,1,BBMP  (M  Corp.  + OG) (Part),Handigudishalu Slum,Yes,39,166,0.4,-,-,BD,-,4,32,0,0,3,1,38,1,0
331,1,BBMP  (M  Corp.  + OG) (Part),Farooquiya Nagar Slum,Yes,233,1196,0.6,-,-,BD,-,24,183,0,1,21,9,229,3,0
332,1,BBMP  (M  Corp.  +  OG)  (Part),Jjr Nagar South Oblesh Colony () Slum,Yes,98,501,1.2,-,-,BD,-,10,75,0,0,9,4,96,1,0
333,1,BBMP  (M  Corp.  +  OG)  (Part),Jjr Nagar South Oblesh Colony () Slum,Yes,128,662,1.4,-,-,BD,-,13,99,0,1,11,5,126,3,0
334,1,BBMP  (M  Corp.  +  OG)  (Part),Jjr Nagar South Oblesh Colony () Slum,Yes,127,677,1,-,-,BD,-,13,98,0,1,11,5,125,3,0
335,1,BBMP  (M  Corp.  + OG) (Part),Farooquiya Nagar Slum,Yes,421,2309,1,-,-,BD,-,44,334,0,2,37,16,413,5,0
336,1,BBMP  (M Corp. + OG) (Part),Farooquia Nagar Slum,Yes,71,424,0.5,-,-,BD,-,7,58,0,0,6,3,70,1,0
337,1,BBMP  (M  Corp.  + OG) (Part),Janatha Colony Slum,Yes,535,2340,0.6,-,-,BD,-,56,425,0,3,47,21,525,5,0
338,1,BBMP  (M  Corp.  + OG) (Part),Mominpura Slum,Yes,423,2253,0.5,-,-,BD,-,44,336,0,2,37,16,415,5,0
339,1,BBMP  (M  Corp.  + OG) (Part),Janatha Colony Slum,Yes,505,2272,0.6,-,-,BD,-,53,400,0,3,45,19,496,5,0
340,1,BBMP  (M  Corp.  + OG) (Part),Venkata Swamy Garden Slum,Yes,846,4337,0.8,-,-,BD,-,88,675,0,4,75,32,830,5,0
341,1,BBMP  (M Corp. + OG) (Part),V S Garden Slum,Yes,43,191,1,-,-,BD,-,4,35,0,0,4,2,42,1,0
342,1,BBMP  (M  Corp.  + OG) (Part),Venkata Swamy Garden Slum,Yes,428,2096,1,-,-,BD,-,45,339,0,2,38,16,420,5,0
343,1,BBMP  (M Corp. + OG) (Part),Rayapuram Slum,Yes,85,412,1.5,-,-,BD,-,9,64,0,0,8,3,83,1,0
344,1,BBMP  (M  Corp.  + OG) (Part),J.J. Ram Nagar North Slum,Yes,284,1377,0.5,-,-,BD,-,30,224,0,1,25,11,279,3,0
345,1,BBMP  (M  Corp.  + OG) (Part),Rayapura Slum,Yes,650,2912,1,-,-,BD,-,68,518,0,3,57,25,638,5,0
346,1,BBMP  (M  Corp.  + OG) (Part),Anjanappa Garden Slum,Yes,687,3465,0.6,-,-,BD,-,72,547,0,3,61,26,674,5,0
347,1,BBMP  (M  Corp.  + OG) (Part),Flower Garden Slum,Yes,485,2351,1.2,-,-,BD,-,51,385,0,2,43,19,476,5,0
348,1,BBMP  (M  Corp.  + OG) (Part),Bhangicolony Slum,Yes,239,1156,1.4,-,-,BD,-,25,188,0,1,21,9,235,3,0
349,1,BBMP  (M Corp. + OG) (Part),Flower Garden Slum,Yes,126,644,1,-,-,BD,-,13,97,0,1,11,5,124,3,0
350,1,BBMP  (M Corp. + OG) (Part),Anjanappa Garden A And B Lane Slum,Yes,244,1316,1,-,-,BD,-,25,192,0,1,22,9,240,3,0
351,1,BBMP  (M  Corp.  + OG) (Part),Anjanappa Garden C Lane Slum,Yes,309,1653,1.4,-,-,BD,-,32,244,0,2,27,12,303,5,0
352,1,BBMP  (M  Corp.  + OG) (Part),Jai Bheemanagar Slum,Yes,335,1806,1,-,-,BD,-,35,264,0,2,30,13,329,5,0
353,1,BBMP  (M Corp. + OG) (Part),Giripuram Slum,Yes,137,659,1,-,-,BD,-,14,106,0,1,12,5,134,3,0
354,1,BBMP  (M  Corp.  + OG) (Part),Bhakshi Garden Slum,No,611,2815,1.5,-,-,BD,-,64,486,0,3,54,23,600,5,0
355,1,BBMP  (M Corp. + OG) (Part),Ananadpuram Slum,Yes,80,467,1.3,-,-,BD,-,8,61,0,0,7,3,79,1,0
356,1,BBMP  (M  Corp.  + OG) (Part),Anandpuram Slum,Yes,474,2700,1.5,-,-,BD,-,49,377,0,2,42,18,465,5,0
357,1,BBMP  (M  Corp.  + OG) (Part),Bhakshi Garden Slum,No,400,1840,1.6,-,-,BD,-,42,317,0,2,35,15,393,5,0
358,1,BBMP  (M Corp. + OG) (Part),Peer Boundary Slum,Yes,70,308,1.5,-,-,BD,-,7,57,0,0,6,3,69,1,0
359,1,BBMP  (M Corp. + OG) (Part),Bhakshi Garden Slum,No,121,536,0.5,-,-,BD,-,13,92,0,1,11,5,119,3,0
360,1,BBMP  (M Corp. + OG) (Part),Ganeshagudi Slum,No,71,445,1,-,-,BD,-,7,58,0,0,6,3,70,1,0
361,1,BBMP  (M Corp. + OG) (Part),Bhakshi Garden Slum,No,184,945,0.4,-,-,BD,-,19,144,0,1,16,7,181,3,0
362,1,BBMP  (M  Corp.  + OG) (Part),Anandpuram Slum,Yes,299,1526,0.6,-,-,BD,-,31,236,0,2,26,11,293,3,0
363,1,BBMP  (M  Corp.  + OG) (Part),Venkatarama Nagar Slum,No,520,1989,1.2,-,-,BD,-,54,413,0,3,46,20,510,5,0
364,1,BBMP  (M  Corp.  + OG) (Part),Aswath Katte Bande Gudisalu  Slum,No,705,3252,1.4,-,-,BD,-,73,562,0,4,62,27,692,5,0
365,1,BBMP  (M Corp. + OG) (Part),Rk Mutt Slum,Yes,65,320,1,-,-,BD,-,7,48,0,0,6,2,64,1,0
366,1,BBMP  (M Corp. + OG) (Part),Shambupalya Slum,Yes,97,416,0.6,-,-,BD,-,10,74,0,0,9,4,95,1,0
367,1,BBMP  (M Corp. + OG) (Part),Chikkanna Garden Slum,Yes,112,538,0.8,-,-,BD,-,12,85,0,1,10,4,110,3,0
368,1,BBMP  (M Corp. + OG) (Part),Hombegowda Slum,Yes,438,2027,1,-,-,BD,-,46,347,0,2,39,17,430,5,0
369,1,BBMP  (M  Corp.  + OG) (Part),Dayanada Slum,Yes,386,1966,1,-,-,BD,-,40,306,0,2,34,15,379,5,0
370,1,BBMP  (M  Corp.  + OG) (Part),Km Colony Slum,Yes,425,1980,1.5,-,-,BD,-,44,337,0,2,38,16,417,5,0
371,1,BBMP  (M  Corp.  + OG) (Part),Guttepalya Slum,Yes,299,1238,0.5,-,-,BD,-,31,236,0,2,26,11,293,3,0
372,1,BBMP  (M Corp. + OG) (Part),Someshwara Slum,Yes,37,156,1,-,-,BD,-,4,30,0,0,3,1,36,1,0
373,1,BBMP  (M  Corp.  + OG) (Part),Dayanada Slum,Yes,1099,5233,0.6,-,-,BD,-,114,878,0,6,97,42,1079,8,0
374,1,BBMP  (M Corp. + OG) (Part),Sambhupalya Slum,Yes,69,290,1.2,-,-,BD,-,7,52,0,0,6,3,68,1,0
375,1,BBMP  (M Corp. + OG) (Part),Rk Mutt (Kg Nagar),Yes,176,823,1.4,-,-,BD,-,18,137,0,1,16,7,173,3,0
376,1,BBMP  (M Corp. + OG) (Part),Someshwara Slum,Yes,185,967,1,-,-,BD,-,19,145,0,1,16,7,182,3,0
377,1,BBMP  (M Corp. + OG) (Part),Someshwara Quarters Slum,Yes,192,943,1,-,-,BD,-,20,150,0,1,17,7,188,3,0
378,1,BBMP  (M Corp. + OG) (Part),Raghavendra Slum,Yes,158,633,1.4,-,-,BD,-,16,123,0,1,14,6,155,3,0
379,1,BBMP  (M  Corp.  + OG) (Part),Siddapura Slum,Yes,36,134,1,-,-,BD,-,4,25,0,0,3,1,35,1,0
380,1,BBMP  (M Corp. + OG) (Part),Murali Slum,Yes,216,965,1,-,-,BD,-,22,170,0,1,19,8,212,3,0
381,1,BBMP  (M Corp. + OG) (Part),Shankarappa Garden Slum,Yes,67,311,1.5,-,-,BD,-,7,50,0,0,6,3,66,1,0
382,1,BBMP  (M Corp. + OG) (Part),Chikkanna Garden,Yes,200,974,1.3,-,-,BD,-,21,156,0,1,18,8,196,3,0
383,1,BBMP  (M  Corp.  + OG) (Part),Narayanpura Slum,No,264,1060,1.5,-,-,BD,-,27,209,0,1,23,10,259,3,0
384,1,BBMP  (M Corp. + OG) (Part),Srirama Slum,Yes,44,196,1.6,-,-,BD,-,5,31,0,0,4,2,43,1,0
385,1,BBMP  (M  Corp.  + OG) (Part),Brindavan Slum,Yes,132,696,1.5,-,-,BD,-,14,101,0,1,12,5,130,3,0
386,1,BBMP  (M  Corp.  + OG) (Part),Bada Makkan Slum,Yes,249,1149,0.5,-,-,BD,-,26,196,0,1,22,10,244,3,0
387,1,BBMP  (M Corp. + OG) (Part),Narayanpura Slum,No,63,265,1,-,-,BD,-,7,46,0,0,6,2,62,1,0
388,1,BBMP  (M Corp. + OG) (Part),Anjaneya Slum,Yes,94,381,0.4,-,-,BD,-,10,72,0,0,8,4,92,1,0
389,1,BBMP  (M  Corp.  + OG) (Part),Bada Makkan Slum,Yes,279,1419,0.6,-,-,BD,-,29,220,0,1,25,11,274,3,0
390,1,BBMP  (M Corp. + OG) (Part),Anjaneya Slum,Yes,89,385,1.2,-,-,BD,-,9,68,0,0,8,3,87,1,0
391,1,BBMP  (M  Corp.  + OG) (Part),Sr Nagar Slum,Yes,468,2374,1.4,-,-,BD,-,49,372,0,2,41,18,459,5,0
392,1,BBMP  (M  Corp.  + OG) (Part),Chandrappanagar Slum,Yes,249,1292,1,-,-,BD,-,26,196,0,1,22,10,244,3,0
393,1,BBMP  (M  Corp.  + OG) (Part),Mahalingeshwara Slum,Yes,896,3889,0.6,-,-,BD,-,93,715,0,5,79,34,879,5,0
394,1,BBMP  (M Corp. + OG) (Part),Rajendranagar Slum,Yes,2971,13489,0.8,-,-,BD,-,309,2381,0,15,262,114,2916,10,0
395,1,BBMP  (M  Corp.  + OG) (Part),Indira Ghandhi Slum,Yes,379,1583,1,-,-,BD,-,39,301,0,2,33,15,372,5,0
396,1,BBMP  (M Corp. + OG) (Part),Venkatappa Colony Slum,No,75,389,1,-,-,BD,-,8,56,0,0,7,3,74,1,0
397,1,BBMP  (M Corp. + OG) (Part),Ambedkar Colony Slum,No,149,615,1.5,-,-,BD,-,16,115,0,1,13,6,146,3,0
398,1,BBMP  (M  Corp.  + OG) (Part),Panattur Dinne Slum,No,311,1298,0.5,-,-,BD,-,32,246,0,2,27,12,305,5,0
399,1,BBMP  (M  Corp.  + OG) (Part),Devara Bisanahalli Slum,No,336,1242,1,-,-,BD,-,35,265,0,2,30,13,330,5,0
400,1,BBMP  (M  Corp.  + OG) (Part),Chellaghatta Slum,Yes,203,699,0.6,-,-,BD,-,21,159,0,1,18,8,199,3,0
401,1,BBMP  (M Corp. + OG) (Part),Belur Nagasandra Slum,No,181,590,1.2,-,-,BD,-,19,141,0,1,16,7,178,3,0
402,1,BBMP  (M Corp. +  OG)  (Part),Bellur Ambedakar Nagar Slum,No,71,256,1.4,-,-,BD,-,7,58,0,0,6,3,70,1,0
403,1,BBMP  (M Corp. + OG) (Part),Gowtham Nagar Slum,No,138,587,1,-,-,BD,-,14,107,0,1,12,5,135,3,0
404,1,BBMP  (M Corp. +  OG)  (Part),Bellur Ambedakar Nagar Slum,No,233,917,1,-,-,BD,-,24,183,0,1,21,9,229,3,0
405,1,BBMP  (M  Corp.  + OG) (Part),Haralur Slum,No,181,697,1.4,-,-,BD,-,19,141,0,1,16,7,178,3,0
406,1,BBMP  (M Corp. + OG) (Part),Kasavanahalli Bhavi Colony Slum,No,138,626,1,-,-,BD,-,14,107,0,1,12,5,135,3,0
407,1,BBMP  (M  Corp.  + OG) (Part),Jummasandra Colony,No,331,1176,1,-,-,BD,-,34,262,0,2,29,13,325,5,0
408,1,BBMP  (M  Corp.  + OG) (Part),Bisleri Slum,No,219,886,1.5,-,-,BD,-,23,172,0,1,19,8,215,3,0
409,1,BBMP  (M Corp. + OG) (Part),Jogi Colony Slum,Yes,109,538,1.3,-,-,BD,-,11,83,0,1,10,4,107,3,0
410,1,BBMP  (M Corp. + OG) (Part),Ak Colony Slum,Yes,211,772,1.5,-,-,BD,-,22,165,0,1,19,8,207,3,0
411,1,BBMP  (M  Corp.  + OG) (Part),Bhovi Colony Slum,Yes,425,1694,1.6,-,-,BD,-,44,337,0,2,38,16,417,5,0
412,1,BBMP  (M Corp. + OG) (Part),Ak Colony Slum,Yes,236,864,1.5,-,-,BD,-,25,185,0,1,21,9,232,3,0
413,1,BBMP  (M Corp. + OG) (Part),Bhovi Colony Slum,Yes,60,236,0.5,-,-,BD,-,6,49,0,0,5,2,59,1,0
414,1,BBMP  (M  Corp.  + OG) (Part),Sds Sanitorium Slum,Yes,502,2038,1,-,-,BD,-,52,399,0,3,44,19,493,5,0
415,1,BBMP  (M Corp. + OG) (Part),Gundappa Slum,Yes,130,559,0.4,-,-,BD,-,14,100,0,1,11,5,128,3,0
416,1,BBMP  (M Corp. + OG) (Part),Khb Quarters Slum,Yes,102,560,0.6,-,-,BD,-,11,77,0,1,9,4,100,3,0
417,1,BBMP  (M Corp. + OG) (Part),Bhavani Nagar Slum,Yes,178,971,1.2,-,-,BD,-,19,138,0,1,16,7,175,3,0
418,1,BBMP  (M  Corp.  + OG) (Part),Muneshwara Block Slum,Yes,607,2607,1.4,-,-,BD,-,63,483,0,3,54,23,596,5,0
419,1,BBMP  (M  Corp.  + OG) (Part),Sajaynagar Slum / Narasimiah Compound,Yes,127,598,1,-,-,BD,-,13,98,0,1,11,5,125,3,0
420,1,BBMP  (M Corp. + OG) (Part),Veerannagudde Slum,Yes,212,899,0.6,-,-,BD,-,22,166,0,1,19,8,208,3,0
421,1,BBMP  (M Corp. + OG) (Part),Chamundinagar Slum,Yes,297,1108,0.8,-,-,BD,-,31,234,0,2,26,11,292,3,0
422,1,BBMP  (M Corp. + OG) (Part),Veerannagudde Slum,Yes,223,993,1,-,-,BD,-,23,175,0,1,20,9,219,3,0
423,1,BBMP  (M  Corp.  + OG) (Part),Ring Road Slulm,Yes,322,1227,1,-,-,BD,-,34,254,0,2,28,12,316,5,0
424,1,BBMP  (M  Corp.  + OG) (Part),Keb Slum,Yes,311,1363,1.5,-,-,BD,-,32,246,0,2,27,12,305,5,0
425,1,BBMP  (M Corp. + OG) (Part),Veerannagudde Slum,Yes,111,458,0.5,-,-,BD,-,12,84,0,1,10,4,109,3,0
426,1,BBMP  (M  Corp.  + OG) (Part),Gandhi Nagara ( Kengeri),No,314,1375,1,-,-,BD,-,33,247,0,2,28,12,308,5,0
427,1,BBMP  (M  Corp.  + OG) (Part),Arundati Nagar (Kengeri),No,439,1798,0.6,-,-,BD,-,46,348,0,2,39,17,431,5,0
428,1,BBMP  (M Corp. + OG) (Part),Ambedkar Colony (Kenkeri),No,128,526,1.2,-,-,BD,-,13,99,0,1,11,5,126,3,0
429,1,BBMP  (M  Corp.  + OG) (Part),Shivanagara Colony,No,255,1042,1.4,-,-,BD,-,27,200,0,1,23,10,250,3,0
430,1,BBMP  (M Corp. + OG) (Part),Kasthuramma Slum,Yes,153,588,1,-,-,BD,-,16,118,0,1,14,6,150,3,0
431,1,BBMP  (M Corp. + OG) (Part),Almajyothi Nagar,No,61,295,1,-,-,BD,-,6,50,0,0,5,2,60,1,0
432,1,BBMP  (M  Corp.  + OG) (Part),Bangarappa Nagar,No,993,3758,1.4,-,-,BD,-,103,793,0,5,88,38,975,5,0
433,1,BBMP  (M  Corp.  + OG)  (Part),Channasandra,No,519,2075,1,-,-,BD,-,54,412,0,3,46,20,509,5,0
434,1,BBMP  (M Corp. + OG) (Part),Halagevaderahalli,No,621,2610,1,-,-,BD,-,65,494,0,3,55,24,610,5,0
435,1,BBMP  (M  Corp.  + OG) (Part),Tr Shammanna Slum,Yes,565,2307,1.5,-,-,BD,-,59,449,0,3,50,22,555,5,0
436,1,BBMP  (M  Corp.  + OG) (Part),Siddareddy Slum,No,164,578,1.3,-,-,BD,-,17,128,0,1,14,6,161,3,0
437,1,BBMP  (M  Corp.  + OG) (Part),Manjunatha Nagara Colony Slum,Yes,1915,7458,1.5,-,-,BD,-,199,1533,0,10,169,73,1880,8,0
438,1,BBMP  (M  Corp.  + OG) (Part),Cauvery Nagar Slum,No,3053,13192,1.6,-,-,BD,-,318,2446,0,15,270,117,2997,10,0
439,1,BBMP  (M Corp. + OG) (Part),Nakkalbande Slum,Yes,506,2080,1.5,-,-,BD,-,53,401,0,3,45,19,497,5,0
440,1,BBMP  (M  Corp.  + OG) (Part),Kateramma Slum,Yes,62,357,0.5,-,-,BD,-,6,51,0,0,5,2,61,1,0
441,1,BBMP  (M  Corp.  + OG) (Part),Urs Colony Slum,Yes,500,2368,1,-,-,BD,-,52,397,0,3,44,19,491,5,0
442,1,BBMP  (M Corp. + OG) (Part),Indragandhi Slum,Yes,118,553,0.4,-,-,BD,-,12,91,0,1,10,5,116,3,0
443,1,BBMP  (M Corp. + OG) (Part),Puttainapalya Slum,Yes,127,534,0.6,-,-,BD,-,13,98,0,1,11,5,125,3,0
444,1,BBMP  (M  Corp.  + OG) (Part),Corporation Colony Slum,Yes,1325,6094,1.2,-,-,BD,-,138,1059,0,7,117,51,1301,8,0
445,1,BBMP  (M  Corp.  + OG) (Part),Ward No. 171,Yes,319,1525,1.4,-,-,BD,-,33,252,0,2,28,12,313,5,0
446,1,BBMP  (M Corp. + OG) (Part),Gunduthopu Slum,No,97,410,1,-,-,BD,-,10,74,0,0,9,4,95,1,0
447,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Slum,Yes,89,412,0.5,-,-,BD,-,9,68,0,0,8,3,87,1,0
448,1,BBMP  (M  Corp.  + OG) (Part),Madduramma Colony Slum,Yes,320,1521,1,-,-,BD,-,33,253,0,2,28,12,314,5,0
449,1,BBMP  (M  Corp.  + OG) (Part),Gulbarga Colony (Rupena Agrahara),No,401,1655,0.4,-,-,BD,-,42,318,0,2,35,15,394,5,0
450,1,BBMP  (M Corp. + OG) (Part),Dinne Mane (Rupena Agrahara),No,179,951,0.6,-,-,BD,-,19,139,0,1,16,7,176,3,0
451,1,BBMP  (M Corp. + OG) (Part),Someshwara Slum,No,376,1598,1.2,-,-,BD,-,39,298,0,2,33,14,369,5,0
452,1,BBMP  (M  Corp.  + OG) (Part),Jd Mara Slum,No,431,1704,1.4,-,-,BD,-,45,342,0,2,38,17,423,5,0
453,1,BBMP  (M  Corp.  + OG) (Part),Ksrtc Slum,Yes,705,2994,1,-,-,BD,-,73,562,0,4,62,27,692,5,0
454,1,BBMP  (M Corp. +  OG)  (Part),Rajeshwari Nagar Slum,Yes,244,921,0.6,-,-,BD,-,25,192,0,1,22,9,240,3,0
455,1,BBMP  (M Corp. + OG) (Part),Yarabnagar Slum,Yes,1094,5374,0.8,-,-,BD,-,114,873,0,6,97,42,1074,8,0
456,1,BBMP  (M Corp. + OG) (Part),Vijayacollege Slum,Yes,406,1881,1,-,-,BD,-,42,322,0,2,36,16,399,5,0
457,1,BBMP  (M  Corp.  + OG) (Part),Neharu Colony Slum,Yes,229,1132,1,-,-,BD,-,24,180,0,1,20,9,225,3,0
458,1,BBMP  (M Corp. + OG) (Part),Bhavaninagara Slum,Yes,665,2779,1.5,-,-,BD,-,69,530,0,3,59,26,653,5,0
459,1,BBMP  (M Corp. + OG) (Part),Vijayacollege Slum,Yes,94,415,0.5,-,-,BD,-,10,72,0,0,8,4,92,1,0
460,1,BBMP  (M Corp. + OG) (Part),Yarabnagar Slum,Yes,610,3061,1,-,-,BD,-,64,485,0,3,54,23,599,5,0
