Sl no,Class,Name of town,Name of the slum,Notified,No of HHs (approx),Population of slum,Paved Roads in km,Drainage - Open,Drainage Closed,Both (Open and closed),No Drainage,Num Latrines - Pit,Num Latrines - Flush/pour flush,Num of latrines - service,Num of latrines - others,Community Toilets,Number of tap points/public hydrants for water supply,Electricity - Domestic,Electricity - street lighting,Electricity - Others
138,1,BBMP  (M  Corp.  + OG) (Part),Chikkadevasandra Slum,No,382,1718,1,-,-,BD,-,40,302,0,2,34,15,375,5,0
139,1,BBMP  (M Corp. +  OG)  (Part),Rajeev Nagar Slum,Yes,99,357,1,-,-,BD,-,10,75,0,1,9,4,97,1,0
140,1,BBMP  (M Corp. + OG) (Part),Sanjaya Nagar Slum,No,183,731,1.4,-,-,BD,-,19,143,0,1,16,7,180,3,0
141,1,BBMP  (M Corp. + OG) (Part),Singaiah Palya Slum,No,99,437,1,-,-,BD,-,10,75,0,1,9,4,97,1,0
142,1,BBMP  (M Corp. + OG) (Part),A K Colony Slum,No,25,103,1,-,-,BD,-,3,16,0,0,2,1,25,1,0
143,1,BBMP  (M Corp. + OG) (Part),Ambedkar Colony Slum,No,102,408,1.5,-,-,BD,-,11,77,0,1,9,4,100,3,0
144,1,BBMP  (M Corp. + OG) (Part),Kirshna Nagar Slum,No,196,844,0.5,-,-,BD,-,20,154,0,1,17,8,192,3,0
145,1,BBMP  (M  Corp.  + OG) (Part),Joythipuram Slum,No,239,1115,0.6,-,-,BD,-,25,188,0,1,21,9,235,3,0
146,1,BBMP  (M Corp. + OG) (Part),Nagaiahnapalya,No,269,1144,0.5,-,-,BD,-,28,212,0,1,24,10,264,3,0
147,1,BBMP  (M Corp. + OG) (Part),Sathyanagar,Yes,630,2791,0.3,-,-,BD,-,66,501,0,3,56,24,618,5,0
148,1,BBMP  (M Corp. + OG) (Part),Krishnappa Lane Garden,Yes,163,772,0.4,-,-,BD,-,17,127,0,1,14,6,160,3,0
149,1,BBMP  (M Corp. + OG) (Part),Nagappa Garden,Yes,221,830,0.6,-,-,BD,-,23,173,0,1,20,8,217,3,0
150,1,BBMP  (M Corp. + OG) (Part),K.R. Palya,Yes,97,447,1.2,-,-,BD,-,10,74,0,0,9,4,95,1,0
151,1,BBMP  (M Corp. + OG) (Part),Chetyappa  Garden,No,75,390,1,-,-,BD,-,8,56,0,0,7,3,74,1,0
152,1,BBMP  (M Corp. + OG) (Part),Kandaswamy  Garden,No,126,567,0.8,-,-,BD,-,13,97,0,1,11,5,124,3,0
153,1,BBMP  (M Corp. + OG) (Part),Muninarayanappa  Garden,Yes,123,580,1.6,-,-,BD,-,13,94,0,1,11,5,121,3,0
154,1,BBMP  (M Corp. + OG) (Part),Ward No.59,Yes,65,324,1,-,-,BD,-,7,48,0,0,6,2,64,1,0
155,1,BBMP  (M Corp. + OG) (Part),A.K.  Colony,Yes,52,232,1,-,-,BD,-,5,38,0,0,5,2,51,1,0
156,1,BBMP  (M Corp. + OG) (Part),Chennappa Lane,Yes,46,216,1,-,-,BD,-,5,33,0,0,4,2,45,1,0
157,1,BBMP  (M Corp. + OG) (Part),Kondappa  Garden,Yes,34,262,1,-,-,BD,-,4,23,0,0,3,1,33,1,0
158,1,BBMP  (M Corp. + OG) (Part),Chennappa Lane,Yes,57,238,1.5,-,-,BD,-,6,42,0,0,5,2,56,1,0
159,1,BBMP  (M Corp. + OG) (Part),Sathyanagar,Yes,120,516,0.5,-,-,BD,-,12,92,0,1,11,5,118,3,0
160,1,BBMP  (M  Corp.  + OG) (Part),Ward No.60,No,894,4563,0.6,-,-,BD,-,93,713,0,5,79,34,878,5,0
161,1,BBMP  (M  Corp.  + OG) (Part),Aan Slum,No,263,1193,0.5,-,-,BD,-,27,208,0,1,23,10,258,3,0
162,1,BBMP  (M  Corp.  + OG) (Part),Vyalikaval Slum,No,64,417,0.3,-,-,BD,-,7,47,0,0,6,2,63,1,0
163,1,BBMP  (M  Corp.  + OG) (Part),Bhovi Palya(Bhagyajyothi Colony) Slum,Yes,504,2026,0.4,-,-,BD,-,52,400,0,3,45,19,495,5,0
164,1,BBMP  (M Corp. +  OG)  (Part),Bhimashakti Nagar Slum,Yes,76,299,0.6,-,-,BD,-,8,57,0,0,7,3,75,1,0
165,1,BBMP  (M  Corp.  + OG) (Part),Raj Gopalnagar Slum,Yes,1882,6439,1.2,-,-,BD,-,196,1506,0,10,166,72,1847,8,0
166,1,BBMP  (M  Corp.  + OG) (Part),Bassapa Katte Slum,No,1825,6559,1.4,-,-,BD,-,190,1461,0,9,161,70,1791,8,0
167,1,BBMP  (M Corp. + OG) (Part),Raj Gopalnagar Slum,Yes,211,813,1,-,-,BD,-,22,165,0,1,19,8,207,3,0
168,1,BBMP  (M Corp. + OG) (Part),Friends Colony Slum,No,216,792,1,-,-,BD,-,22,170,0,1,19,8,212,3,0
169,1,BBMP  (M  Corp.  + OG) (Part),Maruthi Nagar Slum,No,648,2314,1.4,-,-,BD,-,67,517,0,3,57,25,636,5,0
170,1,BBMP  (M Corp. + OG) (Part),Shivanandhnagar Slum,No,195,693,1,-,-,BD,-,20,153,0,1,17,7,191,3,0
171,1,BBMP  (M Corp. + OG) (Part),Maruthi Nagar Slum,No,225,838,1,-,-,BD,-,23,177,0,1,20,9,221,3,0
172,1,BBMP  (M Corp. + OG) (Part),Shivanandhnagar Slum,No,214,895,1.5,-,-,BD,-,22,168,0,1,19,8,210,3,0
173,1,BBMP  (M Corp. + OG) (Part),Maruthi Nagar Slum,No,157,554,0.5,-,-,BD,-,16,122,0,1,14,6,154,3,0
174,1,BBMP  (M Corp. + OG) (Part),Malagalu,No,302,1158,0.6,-,-,BD,-,31,238,0,2,27,12,296,5,0
175,1,BBMP  (M Corp. + OG) (Part),Krishnananda Nagar,No,189,762,0.5,-,-,BD,-,20,147,0,1,17,7,186,3,0
176,1,BBMP  (M  Corp.  + OG)  (Part),Sajjepalya,No,111,517,0.3,-,-,BD,-,12,84,0,1,10,4,109,3,0
177,1,BBMP  (M Corp. + OG) (Part),Narasimhaiana Palya,No,209,877,0.4,-,-,BD,-,22,164,0,1,18,8,205,3,0
178,1,BBMP  (M Corp. + OG) (Part),Kamalanagar Slum,Yes,538,2112,0.6,-,-,BD,-,56,427,0,3,48,21,528,5,0
179,1,BBMP  (M Corp. + OG) (Part),Chandranagar Slum,Yes,777,3134,1.2,-,-,BD,-,81,619,0,4,69,30,763,5,0
180,1,BBMP  (M  Corp.  + OG) (Part),Sy. No 30And31 Notified,Yes,1514,5909,0.3,-,-,BD,-,158,1210,0,8,134,58,1486,8,0
181,1,BBMP  (M Corp. + OG) (Part),Kamalanagar Slum,Yes,984,3868,0.4,-,-,BD,-,102,786,0,5,87,38,966,5,0
182,1,BBMP  (M Corp. + OG) (Part),Jc Nagar Slum(Notified),Yes,161,629,0.6,-,-,BD,-,17,125,0,1,14,6,158,3,0
183,1,BBMP  (M Corp. + OG) (Part),Kamalanagar Slum(Notified),Yes,769,3085,1.2,-,-,BD,-,80,613,0,4,68,29,755,5,0
184,1,BBMP  (M  Corp.  + OG) (Part),Ashajhothinagara Slum(Notified),Yes,1078,4474,1.4,-,-,BD,-,112,862,0,5,95,41,1058,8,0
185,1,BBMP  (M  Corp.  + OG) (Part),Anjaneya Swamy Gudda Slum(Kamalanagar),Yes,327,1288,1,-,-,BD,-,34,258,0,2,29,13,321,5,0
186,1,BBMP  (M Corp. + OG) (Part),Kamalanagar Slum,Yes,178,719,1,-,-,BD,-,19,138,0,1,16,7,175,3,0
187,1,BBMP  (M  Corp.  + OG) (Part),Mahatma Gandhinagar Slum,No,309,1216,0.3,-,-,BD,-,32,244,0,2,27,12,303,5,0
188,1,BBMP  (M Corp. + OG) (Part),Kamalanagar Slum,Yes,128,526,0.4,-,-,BD,-,13,99,0,1,11,5,126,3,0
189,1,BBMP  (M Corp. + OG) (Part),Mahatma Ghandhinagar Slum,No,131,502,0.6,-,-,BD,-,14,100,0,1,12,5,129,3,0
190,1,BBMP  (M  Corp.  + OG) (Part),Vivekananda Block  Slum,Yes,737,3133,1.2,-,-,BD,-,77,587,0,4,65,28,723,5,0
191,1,BBMP  (M Corp. + OG) (Part),Doggigunta,Yes,142,534,1.4,-,-,BD,-,15,109,0,1,13,5,139,3,0
192,1,BBMP  (M  Corp.  + OG) (Part),Kateramma Slum,No,146,507,1,-,-,BD,-,15,113,0,1,13,6,143,3,0
193,1,BBMP  (M  Corp.  + OG) (Part),Indra Harijana Seva Sangha,Yes,354,1590,1,-,-,BD,-,37,280,0,2,31,14,347,5,0
194,1,BBMP  (M Corp. + OG) (Part),P.K.  Colony,No,269,1459,1.4,-,-,BD,-,28,212,0,1,24,10,264,3,0
195,1,BBMP  (M Corp. + OG) (Part),Polluramma Slum,Yes,385,1755,1,-,-,BD,-,40,305,0,2,34,15,378,5,0
196,1,BBMP  (M Corp. + OG) (Part),Indra Harijana Seva Sangha,Yes,137,646,1,-,-,BD,-,14,106,0,1,12,5,134,3,0
197,1,BBMP  (M Corp. + OG) (Part),Lakshmipura Slum,Yes,131,620,1.5,-,-,BD,-,14,100,0,1,12,5,129,3,0
198,1,BBMP  (M Corp. + OG) (Part),Binnamangala Slum,Yes,525,2146,0.5,-,-,BD,-,55,417,0,3,46,20,515,5,0
199,1,BBMP  (M Corp. + OG) (Part),Kommarkote Slum,No,163,612,0.6,-,-,BD,-,17,127,0,1,14,6,160,3,0
200,1,BBMP  (M Corp. + OG) (Part),Shivashakti Colony Slum,No,187,847,0.5,-,-,BD,-,19,146,0,1,17,7,184,3,0
201,1,BBMP  (M  Corp.  + OG) (Part),Neellurupuram Slum,Yes,286,1209,0.3,-,-,BD,-,30,226,0,1,25,11,281,3,0
202,1,BBMP  (M Corp. + OG) (Part),Kaverinagar,No,407,1637,0.4,-,-,BD,-,42,323,0,2,36,16,399,5,0
203,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Nagar,Yes,99,344,0.6,-,-,BD,-,10,75,0,1,9,4,97,1,0
204,1,BBMP  (M  Corp.  + OG) (Part),Ward No.83,Yes,257,1104,1.2,-,-,BD,-,27,202,0,1,23,10,252,3,0
205,1,BBMP  (M  Corp.  + OG) (Part),Akg Colony Slum,No,827,3298,1,-,-,BD,-,86,660,0,4,73,32,812,5,0
206,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Nagar Gutta Slum,No,1145,4386,0.8,-,-,BD,-,119,915,0,6,101,44,1124,8,0
207,1,BBMP  (M  Corp.  + OG) (Part),Palthundur Agrahara Slum,No,381,1417,1.6,-,-,BD,-,40,301,0,2,34,15,374,5,0
208,1,BBMP  (M  Corp.  + OG) (Part),Gandhipura Slum,No,700,2858,1,-,-,BD,-,73,557,0,4,62,27,687,5,0
209,1,BBMP  (M Corp. + OG) (Part),Nallurahalli Slum,Yes,416,1597,1,-,-,BD,-,43,330,0,2,37,16,408,5,0
210,1,BBMP  (M  Corp.  + OG) (Part),Gandhipura Slum,No,971,3881,0.6,-,-,BD,-,101,775,0,5,86,37,953,5,0
211,1,BBMP  (M  Corp.  + OG) (Part),Kundalahalli Colony Slum,No,1040,3889,1.2,-,-,BD,-,108,831,0,5,92,40,1021,8,0
212,1,BBMP  (M Corp. + OG) (Part),A.K. Colony Slum,No,128,487,1.4,-,-,BD,-,13,99,0,1,11,5,126,3,0
213,1,BBMP  (M Corp. + OG) (Part),Muneshwara Colony Slum,No,51,242,1,-,-,BD,-,5,37,0,0,5,2,50,1,0
214,1,BBMP  (M Corp. + OG) (Part),Harish Chandra Colony Slum,No,27,97,1,-,-,BD,-,3,22,0,0,2,1,27,1,0
